Дата;1к - 140т.р.;1к - 145т.р.;1к - 150т.р.;1к - 155т.р.;1к - 160т.р.;2к - 140т.р.;2к - 145т.р.;2к - 150т.р.;2к - 155т.р.;2к - 160т.р.;3к - 140т.р.;3к - 145т.р.;3к - 150т.р.;3к - 155т.р.;3к - 160т.р.
2025-10-27;117;146;175;216;250;251;302;359;414;474;279;334;385;449;495
2025-10-28;118;147;176;217;250;253;305;364;419;477;277;332;382;445;491
2025-10-28;116;145;173;215;248;249;301;360;415;473;277;334;384;445;491
2025-10-28;116;146;174;216;248;249;301;359;414;472;275;333;383;445;491
2025-10-28;112;140;167;206;236;239;290;348;401;458;261;318;367;428;473
2025-10-29;111;139;165;205;235;227;280;336;386;442;256;312;357;416;456
2025-10-30;111;142;168;214;243;241;292;348;404;465;271;327;372;432;476
2025-10-30;107;139;165;211;240;245;296;352;409;469;268;324;370;430;475
2025-10-30;105;137;163;208;237;244;294;351;407;467;268;324;370;430;475
2025-11-10;101;125;150;190;224;240;290;348;400;457;252;301;345;403;447
2025-11-11;95;117;138;175;203;204;251;298;352;395;211;254;288;335;374
